placeDcid,placeName,Date:Count_Person_EducationalAttainmentRegularHighSchoolDiploma,Value:Count_Person_EducationalAttainmentRegularHighSchoolDiploma,Source:Count_Person_EducationalAttainmentRegularHighSchoolDiploma
geoId/01089,Madison County,2022,41153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01091,Marengo County,2022,4022,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01093,Marion County,2022,6015,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01095,Marshall County,2022,16482,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01097,Mobile County,2022,81360,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01099,Monroe County,2022,5465,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01101,Montgomery County,2022,31849,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01103,Morgan County,2022,21195,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01105,Perry County,2022,2012,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01107,Pickens County,2022,4716,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01109,Pike County,2022,5795,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01111,Randolph County,2022,4282,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01113,Russell County,2022,9163,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01115,St. Clair County,2022,18780,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01117,Shelby County,2022,26868,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01119,Sumter County,2022,2219,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01121,Talladega County,2022,16238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01123,Tallapoosa County,2022,7475,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01125,Tuscaloosa County,2022,35619,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01127,Walker County,2022,12788,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01129,Washington County,2022,4200,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01131,Wilcox County,2022,2672,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01133,Winston County,2022,5695,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02013,Aleutians East Borough,2022,1002,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02016,Aleutians West Census Area,2022,1310,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02020,Anchorage Municipality,2022,38782,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02050,Bethel Census Area,2022,4028,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02060,Bristol Bay Borough,2022,152,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02063,Chugach Census Area,2022,1037,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02066,Copper River Census Area,2022,415,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02068,Denali Borough,2022,740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02070,Dillingham Census Area,2022,1045,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02090,Fairbanks North Star Borough,2022,12233,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02100,Haines Borough,2022,381,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02105,Hoonah-Angoon Census Area,2022,516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02110,Juneau City and Borough,2022,3869,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02122,Kenai Peninsula Borough,2022,9673,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02130,Ketchikan Gateway Borough,2022,2324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02150,Kodiak Island Borough,2022,2167,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02158,Kusilvak Census Area,2022,2058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
